category,text,skills
Software Engineering Jobs,job descriptionrequirementswork closely with a team of scientists doctors and be able to assimilate the problems and develop solutions through softwaredevelop software programs and tools to extract features from data for machine learning model development define and implement models to uncover patterns and predictions creating business value and innovation effectively tells stories with the data using visualisation toolsmethods to demonstrate insight impact and business value implement datadriven solutions based on machine learning ml and optimisation algorithms to address business problems partner with teams to build scalable efficient automated mlbased pipelines training evaluation monitoring what are we looking for proficient in programming in pythonskills required python and data science tool kit numpy pandas scipy scikitlearn matplotlib knowledge knowledge of machine learning library such as tensorflow keras or pytorch is a plus we are looking for students in their final or prefinal year of engineering or relevant studiesinterested candidates send your resume directly on whatsapp or other information call hr murali reddy 9582979262,['enterprise solutionsoftware solutionspythonperlphpbashscriptingtcl']
Software Engineering Jobs,requirementswork closely with a team of scientists doctors and be able to assimilate the problems and develop solutions through softwaredevelop software programs and tools to extract features from data for machine learning model developmentdefine and implement models to uncover patterns and predictions creating business value and innovationeffectively tells stories with the data using visualisation toolsmethods to demonstrate insight impact and business valueimplement datadriven solutions based on machine learning ml and optimisation algorithms to address business problemspartner with teams to build scalable efficient automated mlbased pipelines training evaluation monitoringwhat are we looking forproficient in programming in pythonskills required python and data science tool kit numpy pandas scipy scikitlearn matplotlib knowledgeknowledge of machine learning library such as tensorflow keras or pytorch is a pluswe are looking for students in their final or prefinal year of engineering or relevant studiescall or whatsapp cv 879l852357,['engineering internmodel developmentinternshipcateringmonitoringdata scienceenterprise applicationsmachine learningsoftware solutionspython']
Software Engineering Jobs,requirementswork closely with a team of scientists doctors and be able to assimilate the problems and develop solutions through softwaredevelop software programs and tools to extract features from data for machine learning model developmentdefine and implement models to uncover patterns and predictions creating business value and innovationeffectively tells stories with the data using visualisation toolsmethods to demonstrate insight impact and business valueimplement datadriven solutions based on machine learning ml and optimisation algorithms to address business problemspartner with teams to build scalable efficient automated mlbased pipelines training evaluation monitoringwhat are we looking forproficient in programming in pythonskills required python and data science tool kit numpy pandas scipy scikitlearn matplotlib knowledgeknowledge of machine learning library such as tensorflow keras or pytorch is a pluswe are looking for students in their final or prefinal year of engineering or relevant studiesrole software developerindustry type itsoftware software servicesfreshers also can applyapply this job and the selected person will be called on behalf of the company,['engineering internmodel developmentinternshipcateringmonitoringdata scienceenterprise applicationsmachine learningsoftware solutionspython']
Software Engineering Jobs,join an established firm with offices around the worldexcellent learning and career progression opportunitiesbe a part of an innovative collaborative and passionate cultureour client is a digital profile management solutions provider they have partnered with over 150000 businesses to optimise their content on various channels to drive brand awareness and increase customer loyaltythe job you will be responsible for writing welldesigned testable and efficient codegathering and evaluating user feedbackworking as a part of a dynamic team to deliver winning productsproviding code documentation and other inputs to technical documentssupporting continuous improvement by investigating alternatives and new technologies and presenting these for architectural reviewtroubleshooting and debugging to optimise performancethe profileyou possess a degreediploma in computer science engineering or related fieldyou have at least 2 years experience within a software engineer or similar roleyou possess strong knowledge of ruby and pythongood knowledge of postgresql redis nosql databases eg mongodb cassandra elasticsearch mysql and graphql databases is requiredyou are adaptable and thrive in changing environmentsyou pay strong attention to detail and deliver work that is of a high standardyou possess strong analytical skills and are comfortable dealing with numerical dataref 44708003,['mysqlpythonmongodbnosqlpostgresqlcassandrarubysoftware engineering']
Software Engineering Jobs,10 years successful experience in leading software engineering teams must have compelling leadership style that includes exceptional people management skills handling business and technology a mix of startup and large company success and experience in leading and collaborating in a globally distributed organization experience working in a best practices organization and will have a passion for developing and monitoring teams demonstrated success in establishing a streamlined software development process including solid documentation and exceptional functional quality and reliability work closely with other departments and disciplines to define the technical requirements for the runtime pipeline and tools and manage the efforts to build test and improve them ability to attract recruit lead reward motivate the industrys best talent and simultaneously have the technical capability to ensure we are building customer oriented solutions must be able to challenge the teamorganization while holding them accountable for their commitments experience in communicating internally and externally to understand requirements and to describe software product features keep updated with technology advances and propose new innovations that may benefit the project proactively identify challenges and risks to the project and offer solutionstechnical qualification sufficiently hands on with fullstack web andor mobile development obsessed about best practices in code design development and maintenance strong understanding of object oriented concepts design patterns and software architecture concepts extensive experience with one or more of the following php python yii2 laravel 5 flask etc experience with one or more of the following html5 javascript ajax reactjs css3 bootstrap like frameworks jsonrest experience in building mobile applications in native android and ios frameworks like reactnative etc knowledge of latest design and mobile app lifecycle methodologies and standards good to have ux and information architecture knowledge version control git database mysql mariadb etc knowledge of nosql mongodb redis memcache hadoop etc good knowledge of lamplnmp stack strong knowledge and experience in devops experience in handling cloud providers like azure aws digitalocean etc good to have knowledge about terraform vagrant puppet nagios etc good to have an understanding the concept of distributed application deployment knowledge of ml lifecycle and algorithms is good to have experience in growing team in a startup good to have need to lead from the front must have great problem solving and solution architecture experience,['memcachedigitaloceanphppythonyii2laravelflaskmysqlmariadbnosqlmongodbredishadoopazureaws']
Software Engineering Jobs,work within a intelligent postpurchase service platformextensive learning and career growth opportunitiesfantastic work environment our client is a selflearning platform with an ecosystem that promotes customer happiness throughout consumer devices life cycle they are a wellbacked firm with international offices and are working with a growing number of brands across verticals the job you will be responsible for managing the interchange of data between servers and usersintegrating userfacing elements developed by frontend developers with server side logicdefinition and maintenance of central databasewriting reusable testable and efficient codedesigning and implementation of lowlatency highavailability and performance applicationsimplementing security and data protection and integrating data storage solutionsthe profileyou possess a degreediploma in computer science engineering or related fieldyou have at least 1 year experience in a software engineer or similar role with strong proficiency with javascriptyou have strong knowledge of nodejs core and frameworks express strongloop koa hapi etcyou are proficient with code versioning tools such as gityou have solid understanding of the nature of asynchronous programming and its quirks and workaroundsyou have an understanding of serverside css preprocessors as well as accessibility and security compliance you have fundamental understanding of frontend technologies such as html5 and css3 as well as design principles behind a scalable applicationyou are able to differentiate between multiple delivery platforms such as mobile vs desktop and optimising output to match the specific platformyou have experience integrating multiple data sources and databases into one system as well as creating database schemas that represent and support business processesyou have excellent written and verbal communication skillsyou are a strong team player who can manage multiple stakeholdersyou are highly goal driven and work well in fast paced environmentsyou are adaptable and thrive in changing environmentsref 67966002,['cssfront endnodejsjavascriptsoftware engineeringhtml5']
Software Engineering Jobs,join a highgrowth digital banking platformgreat prospects for learning and career developmentwork with a group of passionate likeminded individualsour client is a digital banking platform that is enabling frictionless transactions and enhancing payment experience they have grown significantly in the last few years offering a suite of services and have gained the trust of individuals and companies countrywidethe job in this role you will be brainstorming and setting directions that will allow the company to make online payments easy and accessible to allyou will also be responsible for driving product design discussions and scaling our payment infrastructurebeing involved in shaping our rest apis for developers worldwidecontributing to open source as we set the standards for mobile paymentsthe profileyou have a degree in computer science engineering or related field with at least 3 years experience in a software engineer or similar role ideally in a product companyyou have strong experience in programming languages such as php python django golang java cyou have strong product design sense with ability to understand enduser requirements formulate use cases and come up with effective solutionsyou have solid understanding of rest apis and the web in generalyou have the ability to build a feature from scratch drive it to completionyou have the willingness to learn new technology in order to deliver best productit will be an added advantage if you have projects on github or contributed to an open source projectyou are a strong team player and can handle various stakeholdersyou are adaptable and can work in changing environmentsyou have strong analytical and problem solving skillsref 17943009,['pythondjangojavasoftware engineeringopen sourceprogrammingphp developerweb technologies']
Software Engineering Jobs,client interviews in progressjob location canada australia new zealand denmark gulf countrysalary structure 50000 us 60000 us yearlyother benefits free fooding accommodation air tickets vocational air tickets cab facility allowances free education for children pensions medical facility sponsor your relatives migrate with your family no bondduties responsibilities will be almost similar as per your current profileprocess time 4 5 monthssenior software engineer job purpose develops information systems by studying operations designing developing and installing software solutions supports and develops software teamsenior software engineer job dutiesdevelops software solutions by studying information needs conferring with users studying systems flow data usage and work processes investigating problem areas following the software development lifecycledetermines operational feasibility by evaluating analysis problem definition requirements solution development and proposed solutionsdocuments and demonstrates solutions by developing documentation flowcharts layouts diagrams charts code comments and clear codeprepares and installs solutions by determining and designing system specifications standards and programmingimproves operations by conducting systems analysis recommending changes in policies and proceduresupdates job knowledge by studying stateoftheart development tools programming techniques and computing equipment participating in educational opportunities reading professional publications maintaining personal networks participating in professional organizationsprotects operations by keeping information confidentialprovides information by collecting analyzing and summarizing development and service issuesaccomplishes engineering and organization mission by completing related results as neededsupports and develops software engineers by providing advice coaching and educational opportunitiesskillsqualifications analyzing information software design software documentation software testing teamwork general programming skills software development fundamentals software development process software requirements software architecture coachingif you are interested for the same please reply with your updated cv signaturethanks regardsaman immigration advisorrcicrecruitment canada immigration canadaaddress level s2 american plaza nehru place new delhi delhi 110019mobile 91 9999344504 contact timings 930 pm to 630 pmemail confidential informationwebsite httprciccoin,['developeritsoftware engineersoftware programmersenior software engineersoftware developerjavascript']
Software Engineering Jobs,software engineer at our ghaziabad who will work with the internal backend team to develop and extend the functionality of our internal systems this position reports to the directorprofile descriptionwrite a lot of code adding innovative features participate in designing overall architecture and individual featuresability to participate in video conference based meetings with teams in other locationswork with technical and nontechnical teams to develop product requirements and innovative solutionsexperience with an issue tracking systemprogramming languages and frameworks javascript vb google forms and sheetsexcellent communication skillsexperience working round the clock can attend office as well as an emergency in office 24x7 environmentinterested candidate can apply on this email id confidential informationthanks regardsmetro jobs consultantmobile 965405596901146107515,['javascript vbgoogle formsand sheets ability to participate in video conference based meetings with teams in other locationsframeworkssoftware engineer']
Software Engineering Jobs,devopsa developer who somehow got interested in deployment and cloud operations are you a sysadmin who loves to script and code if yes then read on because were looking for a passionate systems devops engineer to help scale our operationsyou will use software engineering systems engineering and deployment automation to improve the availability latency efficiency and scalability of the infrastructure you should be comfortable learning evaluating and deploying new technologies you thrive in trueagile fast paced production facing environmentswe want youresponsibilitiesdevelop automation and processes to enable teams to deploy manage configure scale and monitor their applications on both public and private cloud infrastructureactively participate in high level team activities such as suggesting architecture improvements recommending process improvements and conducting tool evaluationshelp solve business needs with technology by evaluating different technology options and vendor productssystem troubleshooting and problem solving across platform and application domains expected to participate in oncall escalations to troubleshoot customer facing issuestake ownership of endtoend solutions provided by teams across the organization we really need selfmotivation here all things must be automated and documentedrequirements bs in computer science computer engineering math or equivalent professional experience or 3 years of solid experience as devops engineer in 24x7 uptime environment experience in designing deploying and operating cloud infrastructure awsazuregoogle at scale 5 years of impeccable windowslinux scripting and system administration experience 3 years of experience and knowledge of infrastructure provisioning tools such as dsc dockerkubernetes chef puppet ansible saltstack experience with continuous integration tools jenkins travis ci bamboo fluent in any development java c python ruby net etc languages excellent troubleshooting skills across multiple interdependent services good understanding of networking concepts selfstarter who can take ownership of technical issues and followthrough great communication and collaboration skillshandson strong on the followingsource version control github tfs must svc cvs good to haveorchestration jenkins must artifactory travis ci bamboo team city jenkins any 1 of the restconfiguration managementpublic cloud k8 docker teraform cloud formation atleast 2 private cloud saltstack chef puppet ansible,['computer engineerdevops engineerlinuxwindows']
